#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,LOSS,WIN,46,73,0.0,1.0,1.0,0.0,0.0
2,LOSS,WIN,56,66,0.0,1.0,1.0,0.0,0.0
3,DRAW,DRAW,42,63,0.0,0.67,0.67,0.0,0.33
4,LOSS,WIN,36,49,0.0,0.75,0.75,0.0,0.25
5,LOSS,WIN,22,32,0.0,0.8,0.8,0.0,0.2
6,DRAW,DRAW,70,32,0.0,0.67,0.67,0.0,0.33
7,LOSS,WIN,37,56,0.0,0.71,0.71,0.0,0.29
8,WIN,LOSS,62,46,0.12,0.62,0.62,0.12,0.25
9,LOSS,WIN,57,42,0.11,0.67,0.67,0.11,0.22
10,DRAW,DRAW,27,61,0.1,0.6,0.6,0.1,0.3
11,DRAW,DRAW,72,17,0.09,0.55,0.55,0.09,0.36
12,DRAW,DRAW,72,50,0.08,0.5,0.5,0.08,0.42
13,LOSS,WIN,23,11,0.08,0.54,0.54,0.08,0.38
14,DRAW,DRAW,47,11,0.07,0.5,0.5,0.07,0.43
15,LOSS,WIN,30,14,0.07,0.53,0.53,0.07,0.4
16,DRAW,DRAW,55,63,0.06,0.5,0.5,0.06,0.44
17,DRAW,DRAW,28,65,0.06,0.47,0.47,0.06,0.47
18,WIN,LOSS,32,25,0.11,0.44,0.44,0.11,0.44
19,DRAW,DRAW,52,53,0.11,0.42,0.42,0.11,0.47
20,LOSS,WIN,65,52,0.1,0.45,0.45,0.1,0.45
21,LOSS,WIN,59,44,0.1,0.48,0.48,0.1,0.43
22,DRAW,DRAW,77,80,0.09,0.45,0.45,0.09,0.45
23,LOSS,WIN,33,50,0.09,0.48,0.48,0.09,0.43
24,DRAW,DRAW,38,32,0.08,0.46,0.46,0.08,0.46
25,DRAW,DRAW,61,43,0.08,0.44,0.44,0.08,0.48
26,DRAW,DRAW,80,36,0.08,0.42,0.42,0.08,0.5
27,DRAW,DRAW,35,30,0.07,0.41,0.41,0.07,0.52
28,LOSS,WIN,58,70,0.07,0.43,0.43,0.07,0.5
29,WIN,LOSS,64,17,0.1,0.41,0.41,0.1,0.48
30,DRAW,DRAW,74,48,0.1,0.4,0.4,0.1,0.5
31,LOSS,WIN,77,26,0.1,0.42,0.42,0.1,0.48
32,DRAW,DRAW,23,15,0.09,0.41,0.41,0.09,0.5
33,DRAW,DRAW,75,52,0.09,0.39,0.39,0.09,0.52
34,LOSS,WIN,72,71,0.09,0.41,0.41,0.09,0.5
35,WIN,LOSS,24,64,0.11,0.4,0.4,0.11,0.49
36,DRAW,DRAW,79,53,0.11,0.39,0.39,0.11,0.5
37,LOSS,WIN,72,69,0.11,0.41,0.41,0.11,0.49
38,DRAW,DRAW,80,68,0.11,0.39,0.39,0.11,0.5
39,LOSS,WIN,31,62,0.1,0.41,0.41,0.1,0.49
40,DRAW,DRAW,25,55,0.1,0.4,0.4,0.1,0.5
41,WIN,LOSS,34,75,0.12,0.39,0.39,0.12,0.49
42,DRAW,DRAW,24,76,0.12,0.38,0.38,0.12,0.5
43,DRAW,DRAW,57,38,0.12,0.37,0.37,0.12,0.51
44,LOSS,WIN,74,57,0.11,0.39,0.39,0.11,0.5
45,LOSS,WIN,35,31,0.11,0.4,0.4,0.11,0.49
46,LOSS,WIN,51,64,0.11,0.41,0.41,0.11,0.48
47,LOSS,WIN,74,78,0.11,0.43,0.43,0.11,0.47
48,DRAW,DRAW,80,22,0.1,0.42,0.42,0.1,0.48
49,DRAW,DRAW,54,56,0.1,0.41,0.41,0.1,0.49
50,LOSS,WIN,65,37,0.1,0.42,0.42,0.1,0.48
