#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,LOSS,WIN,44,16,0.00,1.00,1.00,0.00,0.00
2,WIN,LOSS,77,30,0.50,0.50,0.50,0.50,0.00
3,DRAW,DRAW,152,57,0.33,0.33,0.33,0.33,0.33
4,DRAW,DRAW,75,25,0.25,0.25,0.25,0.25,0.50
5,WIN,LOSS,33,12,0.40,0.20,0.20,0.40,0.40
6,DRAW,DRAW,76,27,0.33,0.17,0.17,0.33,0.50
7,DRAW,DRAW,217,78,0.29,0.14,0.14,0.29,0.57
8,DRAW,DRAW,74,27,0.25,0.12,0.12,0.25,0.62
9,DRAW,DRAW,185,66,0.22,0.11,0.11,0.22,0.67
10,DRAW,DRAW,147,54,0.20,0.10,0.10,0.20,0.70
11,DRAW,DRAW,162,56,0.18,0.09,0.09,0.18,0.73
12,DRAW,DRAW,156,56,0.17,0.08,0.08,0.17,0.75
13,DRAW,DRAW,204,72,0.15,0.08,0.08,0.15,0.77
14,DRAW,DRAW,159,58,0.14,0.07,0.07,0.14,0.79
