#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,WIN,LOSS,69,27,1.00,0.00,0.00,1.00,0.00
2,DRAW,DRAW,108,42,0.50,0.00,0.00,0.50,0.50
3,DRAW,DRAW,48,18,0.33,0.00,0.00,0.33,0.67
4,LOSS,WIN,44,17,0.25,0.25,0.25,0.25,0.50
5,LOSS,WIN,30,11,0.20,0.40,0.40,0.20,0.40
6,LOSS,WIN,76,29,0.17,0.50,0.50,0.17,0.33
7,WIN,LOSS,65,25,0.29,0.43,0.43,0.29,0.29
8,DRAW,DRAW,120,46,0.25,0.38,0.38,0.25,0.38
9,DRAW,DRAW,87,34,0.22,0.33,0.33,0.22,0.44
10,DRAW,DRAW,96,36,0.20,0.30,0.30,0.20,0.50
11,DRAW,DRAW,161,60,0.18,0.27,0.27,0.18,0.55
12,DRAW,DRAW,110,42,0.17,0.25,0.25,0.17,0.58
13,LOSS,WIN,200,77,0.15,0.31,0.31,0.15,0.54
14,DRAW,DRAW,112,44,0.14,0.29,0.29,0.14,0.57
15,DRAW,DRAW,104,40,0.13,0.27,0.27,0.13,0.60
16,DRAW,DRAW,89,34,0.12,0.25,0.25,0.12,0.62
17,LOSS,WIN,74,29,0.12,0.29,0.29,0.12,0.59
18,DRAW,DRAW,58,22,0.11,0.28,0.28,0.11,0.61
19,WIN,LOSS,45,17,0.16,0.26,0.26,0.16,0.58
20,WIN,LOSS,63,24,0.20,0.25,0.25,0.20,0.55
21,DRAW,DRAW,91,35,0.19,0.24,0.24,0.19,0.57
22,WIN,LOSS,89,35,0.23,0.23,0.23,0.23,0.55
23,DRAW,DRAW,119,45,0.22,0.22,0.22,0.22,0.57
24,DRAW,DRAW,58,22,0.21,0.21,0.21,0.21,0.58
25,WIN,LOSS,65,25,0.24,0.20,0.20,0.24,0.56
26,DRAW,DRAW,129,49,0.23,0.19,0.19,0.23,0.58
27,DRAW,DRAW,139,53,0.22,0.19,0.19,0.22,0.59
28,DRAW,DRAW,84,33,0.21,0.18,0.18,0.21,0.61
29,WIN,LOSS,83,32,0.24,0.17,0.17,0.24,0.59
30,DRAW,DRAW,77,30,0.23,0.17,0.17,0.23,0.60
31,WIN,LOSS,45,17,0.26,0.16,0.16,0.26,0.58
32,DRAW,DRAW,102,40,0.25,0.16,0.16,0.25,0.59
33,LOSS,WIN,90,35,0.24,0.18,0.18,0.24,0.58
34,LOSS,WIN,108,41,0.24,0.21,0.21,0.24,0.56
35,DRAW,DRAW,87,32,0.23,0.20,0.20,0.23,0.57
36,DRAW,DRAW,121,46,0.22,0.19,0.19,0.22,0.58
37,WIN,LOSS,33,12,0.24,0.19,0.19,0.24,0.57
38,DRAW,DRAW,188,72,0.24,0.18,0.18,0.24,0.58
39,LOSS,WIN,68,26,0.23,0.21,0.21,0.23,0.56
40,DRAW,DRAW,70,27,0.22,0.20,0.20,0.23,0.57
41,DRAW,DRAW,168,64,0.22,0.20,0.20,0.22,0.59
42,LOSS,WIN,58,22,0.21,0.21,0.21,0.21,0.57
43,WIN,LOSS,55,21,0.23,0.21,0.21,0.23,0.56
44,DRAW,DRAW,72,28,0.23,0.20,0.20,0.23,0.57
45,DRAW,DRAW,56,22,0.22,0.20,0.20,0.22,0.58
46,DRAW,DRAW,137,54,0.22,0.20,0.20,0.22,0.59
47,LOSS,WIN,46,18,0.21,0.21,0.21,0.21,0.57
48,DRAW,DRAW,127,48,0.21,0.21,0.21,0.21,0.58
49,WIN,LOSS,109,43,0.22,0.20,0.20,0.22,0.57
50,DRAW,DRAW,82,31,0.22,0.20,0.20,0.22,0.58
51,DRAW,DRAW,154,60,0.22,0.20,0.20,0.22,0.59
52,DRAW,DRAW,54,21,0.21,0.19,0.19,0.21,0.60
53,DRAW,DRAW,90,34,0.21,0.19,0.19,0.21,0.60
54,DRAW,DRAW,88,34,0.20,0.19,0.19,0.20,0.61
55,LOSS,WIN,58,22,0.20,0.20,0.20,0.20,0.60
56,DRAW,DRAW,154,61,0.20,0.20,0.20,0.20,0.61
57,DRAW,DRAW,138,51,0.19,0.19,0.19,0.19,0.61
58,DRAW,DRAW,82,31,0.19,0.19,0.19,0.19,0.62
59,DRAW,DRAW,117,45,0.19,0.19,0.19,0.19,0.63
60,DRAW,DRAW,158,61,0.18,0.18,0.18,0.18,0.63
61,DRAW,DRAW,59,22,0.18,0.18,0.18,0.18,0.64
62,DRAW,DRAW,87,34,0.18,0.18,0.18,0.18,0.65
63,LOSS,WIN,76,29,0.17,0.19,0.19,0.17,0.63
64,LOSS,WIN,100,39,0.17,0.20,0.20,0.17,0.62
65,LOSS,WIN,92,36,0.17,0.22,0.22,0.17,0.62
66,WIN,LOSS,55,21,0.18,0.21,0.21,0.18,0.61
67,DRAW,DRAW,81,32,0.18,0.21,0.21,0.18,0.61
68,LOSS,WIN,46,17,0.18,0.22,0.22,0.18,0.60
69,DRAW,DRAW,108,42,0.17,0.22,0.22,0.17,0.61
70,WIN,LOSS,63,24,0.19,0.21,0.21,0.19,0.60
71,DRAW,DRAW,37,14,0.18,0.21,0.21,0.18,0.61
72,DRAW,DRAW,61,23,0.18,0.21,0.21,0.18,0.61
73,DRAW,DRAW,87,34,0.18,0.21,0.21,0.18,0.62
74,WIN,LOSS,61,23,0.19,0.20,0.20,0.19,0.61
75,LOSS,WIN,84,33,0.19,0.21,0.21,0.19,0.60
76,DRAW,DRAW,65,24,0.18,0.21,0.21,0.18,0.61
77,DRAW,DRAW,105,41,0.18,0.21,0.21,0.18,0.61
78,DRAW,DRAW,158,62,0.18,0.21,0.21,0.18,0.62
79,DRAW,DRAW,78,30,0.18,0.20,0.20,0.18,0.62
80,LOSS,WIN,76,29,0.17,0.21,0.21,0.18,0.61
81,DRAW,DRAW,66,25,0.17,0.21,0.21,0.17,0.62
82,DRAW,DRAW,75,29,0.17,0.21,0.21,0.17,0.62
83,DRAW,DRAW,173,62,0.17,0.20,0.20,0.17,0.63
84,WIN,LOSS,93,35,0.18,0.20,0.20,0.18,0.62
85,LOSS,WIN,60,23,0.18,0.21,0.21,0.18,0.61
86,DRAW,DRAW,48,18,0.17,0.21,0.21,0.17,0.62
87,LOSS,WIN,62,24,0.17,0.22,0.22,0.17,0.61
88,WIN,LOSS,79,31,0.18,0.22,0.22,0.18,0.60
89,WIN,LOSS,41,16,0.19,0.21,0.21,0.19,0.60
90,DRAW,DRAW,114,44,0.19,0.21,0.21,0.19,0.60
91,DRAW,DRAW,75,29,0.19,0.21,0.21,0.19,0.60
92,DRAW,DRAW,106,41,0.18,0.21,0.21,0.18,0.61
93,WIN,LOSS,47,18,0.19,0.20,0.20,0.19,0.60
94,LOSS,WIN,50,19,0.19,0.21,0.21,0.19,0.60
95,DRAW,DRAW,44,16,0.19,0.21,0.21,0.19,0.60
96,LOSS,WIN,104,41,0.19,0.22,0.22,0.19,0.59
97,DRAW,DRAW,93,36,0.19,0.22,0.22,0.19,0.60
98,DRAW,DRAW,107,41,0.18,0.21,0.21,0.18,0.60
99,DRAW,DRAW,124,47,0.18,0.21,0.21,0.18,0.61
100,DRAW,DRAW,95,35,0.18,0.21,0.21,0.18,0.61
