#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,LOSS,WIN,26,6,0.00,1.00,1.00,0.00,0.00
2,LOSS,WIN,73,18,0.00,1.00,1.00,0.00,0.00
3,LOSS,WIN,54,13,0.00,1.00,1.00,0.00,0.00
4,LOSS,WIN,54,13,0.00,1.00,1.00,0.00,0.00
5,DRAW,DRAW,61,14,0.00,0.80,0.80,-0.00,0.20
6,LOSS,WIN,60,14,0.00,0.83,0.83,0.00,0.17
7,LOSS,WIN,56,13,0.00,0.86,0.86,-0.00,0.14
8,DRAW,DRAW,200,45,0.00,0.75,0.75,0.00,0.25
9,LOSS,WIN,26,6,0.00,0.78,0.78,-0.00,0.22
10,LOSS,WIN,36,9,0.00,0.80,0.80,-0.00,0.20
11,LOSS,WIN,93,23,0.00,0.82,0.82,0.00,0.18
12,LOSS,WIN,34,9,0.00,0.83,0.83,0.00,0.17
13,LOSS,WIN,14,3,0.00,0.85,0.85,-0.00,0.15
14,LOSS,WIN,30,7,0.00,0.86,0.86,-0.00,0.14
15,LOSS,WIN,92,25,0.00,0.87,0.87,-0.00,0.13
16,LOSS,WIN,18,4,0.00,0.88,0.88,0.00,0.12
17,LOSS,WIN,10,2,0.00,0.88,0.88,-0.00,0.12
18,LOSS,WIN,72,19,0.00,0.89,0.89,-0.00,0.11
19,LOSS,WIN,8,1,0.00,0.89,0.89,0.00,0.11
20,LOSS,WIN,44,13,0.00,0.90,0.90,0.00,0.10
21,LOSS,WIN,34,8,0.00,0.90,0.90,-0.00,0.10
22,DRAW,DRAW,76,21,0.00,0.86,0.86,-0.00,0.14
23,LOSS,WIN,8,1,0.00,0.87,0.87,0.00,0.13
24,DRAW,DRAW,60,15,0.00,0.83,0.83,0.00,0.17
25,LOSS,WIN,52,13,0.00,0.84,0.84,0.00,0.16
26,LOSS,WIN,57,13,0.00,0.85,0.85,-0.00,0.15
27,LOSS,WIN,40,10,0.00,0.85,0.85,-0.00,0.15
