#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,DRAW,DRAW,252,26,0.00,0.00,0.00,0.00,1.00
2,DRAW,DRAW,289,35,0.00,0.00,0.00,0.00,1.00
3,LOSS,WIN,192,19,0.00,0.33,0.33,-0.00,0.67
4,DRAW,DRAW,268,27,0.00,0.25,0.25,0.00,0.75
5,WIN,LOSS,121,12,0.20,0.20,0.20,0.20,0.60
6,DRAW,DRAW,283,29,0.17,0.17,0.17,0.17,0.67
7,DRAW,DRAW,199,20,0.14,0.14,0.14,0.14,0.71
8,DRAW,DRAW,234,24,0.12,0.12,0.12,0.12,0.75
9,LOSS,WIN,235,24,0.11,0.22,0.22,0.11,0.67
10,LOSS,WIN,214,22,0.10,0.30,0.30,0.10,0.60
11,DRAW,DRAW,222,23,0.09,0.27,0.27,0.09,0.64
12,DRAW,DRAW,274,28,0.08,0.25,0.25,0.08,0.67
13,WIN,LOSS,169,17,0.15,0.23,0.23,0.15,0.62
14,LOSS,WIN,201,20,0.14,0.29,0.29,0.14,0.57
15,WIN,LOSS,185,19,0.20,0.27,0.27,0.20,0.53
16,DRAW,DRAW,202,21,0.19,0.25,0.25,0.19,0.56
17,LOSS,WIN,204,21,0.18,0.29,0.29,0.18,0.53
18,DRAW,DRAW,253,26,0.17,0.28,0.28,0.17,0.56
19,DRAW,DRAW,213,22,0.16,0.26,0.26,0.16,0.58
20,DRAW,DRAW,237,24,0.15,0.25,0.25,0.15,0.60
21,DRAW,DRAW,231,24,0.14,0.24,0.24,0.14,0.62
22,DRAW,DRAW,247,25,0.14,0.23,0.23,0.14,0.64
23,DRAW,DRAW,313,32,0.13,0.22,0.22,0.13,0.65
24,DRAW,DRAW,311,32,0.12,0.21,0.21,0.12,0.67
25,DRAW,DRAW,231,23,0.12,0.20,0.20,0.12,0.68
26,DRAW,DRAW,208,21,0.12,0.19,0.19,0.12,0.69
27,DRAW,DRAW,205,21,0.11,0.19,0.19,0.11,0.70
28,LOSS,WIN,197,20,0.11,0.21,0.21,0.11,0.68
29,DRAW,DRAW,202,21,0.10,0.21,0.21,0.10,0.69
30,LOSS,WIN,160,16,0.10,0.23,0.23,0.10,0.67
31,DRAW,DRAW,193,20,0.10,0.23,0.23,0.10,0.68
32,DRAW,DRAW,229,23,0.09,0.22,0.22,0.09,0.69
33,DRAW,DRAW,252,25,0.09,0.21,0.21,0.09,0.70
34,DRAW,DRAW,262,27,0.09,0.21,0.21,0.09,0.71
35,DRAW,DRAW,214,22,0.09,0.20,0.20,0.09,0.71
36,DRAW,DRAW,194,20,0.08,0.19,0.19,0.08,0.72
37,DRAW,DRAW,300,31,0.08,0.19,0.19,0.08,0.73
