#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,LOSS,WIN,6,1,0.00,1.00,1.00,0.00,0.00
2,LOSS,WIN,34,12,0.00,1.00,1.00,0.00,0.00
3,LOSS,WIN,10,3,0.00,1.00,1.00,0.00,0.00
4,LOSS,WIN,14,4,0.00,1.00,1.00,0.00,0.00
5,LOSS,WIN,18,6,0.00,1.00,1.00,0.00,0.00
6,LOSS,WIN,38,14,0.00,1.00,1.00,0.00,0.00
7,LOSS,WIN,16,5,0.00,1.00,1.00,0.00,0.00
8,DRAW,DRAW,29,10,0.00,0.88,0.88,0.00,0.12
9,LOSS,WIN,12,4,0.00,0.89,0.89,0.00,0.11
10,LOSS,WIN,10,3,0.00,0.90,0.90,0.00,0.10
11,DRAW,DRAW,37,11,0.00,0.82,0.82,0.00,0.18
12,LOSS,WIN,28,10,0.00,0.83,0.83,0.00,0.17
13,LOSS,WIN,6,1,0.00,0.85,0.85,0.00,0.15
14,LOSS,WIN,28,10,0.00,0.86,0.86,0.00,0.14
15,LOSS,WIN,22,8,0.00,0.87,0.87,0.00,0.13
16,LOSS,WIN,30,11,0.00,0.88,0.88,0.00,0.12
17,LOSS,WIN,20,7,0.00,0.88,0.88,0.00,0.12
18,LOSS,WIN,22,8,0.00,0.89,0.89,0.00,0.11
19,LOSS,WIN,18,6,0.00,0.89,0.89,0.00,0.11
20,LOSS,WIN,22,8,0.00,0.90,0.90,0.00,0.10
21,LOSS,WIN,26,9,0.00,0.90,0.90,0.00,0.10
22,DRAW,DRAW,60,22,0.00,0.86,0.86,0.00,0.14
23,LOSS,WIN,6,1,0.00,0.87,0.87,0.00,0.13
24,DRAW,DRAW,44,16,0.00,0.83,0.83,0.00,0.17
25,LOSS,WIN,22,8,0.00,0.84,0.84,0.00,0.16
26,LOSS,WIN,8,2,0.00,0.85,0.85,0.00,0.15
27,LOSS,WIN,18,6,0.00,0.85,0.85,0.00,0.15
